city,state,population
Aachen,NW,247380
Amberg,BY,41970
Ansbach,BY,41847
Aschaffenburg,BY,70527
Augsburg,BY,295135
Baden-Baden,BW,55123
Bamberg,BY,77592
Bayreuth,BY,74657
Berlin,B,3644826
Bielefeld,NW,333786
Bochum,NW,364628
Bonn,NW,327258
Bottrop,NW,117383
Brandenburg an der Havel,BB,72124
Braunschweig,NI,248292
Bremen,HB,569352
Bremerhaven,HB,113634
Chemnitz,SN,247237
Coburg,BY,41249
Cottbus,BB,100219
Darmstadt,HE,159207
Delmenhorst,NI,77607
Dessau-Roßlau,ST,81237
Dortmund,NW,587010
Dresden,SN,554649
Duisburg,NW,498590
Düsseldorf,NW,619294
Eisenach,TH,42370
Emden,NI,50195
Erfurt,TH,213699
Erlangen,BY,111962
Essen,NW,583109
Flensburg,SH,89504
Frankenthal (Pfalz),RP,48561
Frankfurt (Oder),BB,57873
Frankfurt am Main,HE,753056
Freiburg im Breisgau,BW,230241
Fürth,BY,127748
Gelsenkirchen,NW,260654
Gera,TH,94152
Göttingen,NI,119801
Hagen,NW,188814
Halle (Saale),ST,239257
Hamburg,HH,1841179
Hamm,NW,179111
Hannover,NI,538068
Heidelberg,BW,160355
Heilbronn,BW,125960
Herne,NW,156374
Hof,BY,45930
Ingolstadt,BY,136981
Jena,TH,111407
Kaiserslautern,RP,99845
Karlsruhe,BW,313092
Kassel,HE,201585
Kaufbeuren,BY,43893
Kempten (Allgäu),BY,68907
Kiel,SH,247548
Koblenz,RP,114024
Köln,NW,1085664
Krefeld,NW,227020
Landau in der Pfalz,RP,46677
Landshut,BY,72404
Leipzig,SN,587857
Leverkusen,NW,163838
Lübeck,SH,217198
Ludwigshafen am Rhein,RP,171061
Magdeburg,ST,238697
Mainz,RP,217118
Mannheim,BW,309370
Memmingen,BY,43837
Mönchengladbach,NW,261454
Mülheim an der Ruhr,NW,170880
München,BY,1471508
Münster,NW,314319
Neumünster,SH,79487
Neustadt an der Weinstraße,RP,53148
Nürnberg,BY,518365
Oberhausen,NW,210829
Offenbach am Main,HE,128744
Oldenburg,NI,168210
Osnabrück,NI,164748
Passau,BY,52469
Pforzheim,BW,125542
Pirmasens,RP,40403
Potsdam,BB,178089
Regensburg,BY,152610
Remscheid,NW,110994
Rosenheim,BY,63324
Rostock,MV,208886
Salzgitter,NI,104948
Schwabach,BY,40792
Schweinfurt,BY,54032
Schwerin,MV,95818
Solingen,NW,159360
Speyer,RP,50378
Straubing,BY,47794
Stuttgart,BW,634830
Suhl,TH,36955
Trier,RP,110636
Ulm,BW,126329
Weiden in der Oberpfalz,BY,42520
Weimar,TH,65090
Wiesbaden,HE,278342
Wilhelmshaven,NI,76278
Wolfsburg,NI,124151
Worms,RP,83330
Wuppertal,NW,354382
Würzburg,BY,127880
Zweibrücken,RP,34209
